firstAuthor,accessionId,reportedTrait,Samplesize,summaryStatistics
Chen Y,GCST90200262,N-succinyl-phenylalanine levels,6199,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200262/GCST90200262_buildGRCh38.tsv.gz
Chen Y,GCST90200263,(2 or 3)-decenoate (10:1n7 or n8) levels,8124,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200263/GCST90200263_buildGRCh38.tsv.gz
Chen Y,GCST90200264,"Bilirubin degradation product, C17H20N2O5 (2) levels",8254,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200264/GCST90200264_buildGRCh38.tsv.gz
Chen Y,GCST90200265,"Bilirubin degradation product, C16H18N2O5 (4) levels",8159,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200265/GCST90200265_buildGRCh38.tsv.gz
Chen Y,GCST90200266,"Cis-3,4-methyleneheptanoylcarnitine levels",8259,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200266/GCST90200266_buildGRCh38.tsv.gz
Chen Y,GCST90200267,Tetrahydrocortisol glucuronide levels,8182,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200267/GCST90200267_buildGRCh38.tsv.gz
Chen Y,GCST90200268,N-acetyl-2-aminoadipate levels,7606,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200268/GCST90200268_buildGRCh38.tsv.gz
Chen Y,GCST90200269,"Bilirubin degradation product, C17H20N2O5 (1) levels",8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200269/GCST90200269_buildGRCh38.tsv.gz
Chen Y,GCST90200270,2-methoxyhydroquinone sulfate (1) levels,7487,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200270/GCST90200270_buildGRCh38.tsv.gz
Chen Y,GCST90200271,"Bilirubin degradation product, C16H18N2O5 (3) levels",7970,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200271/GCST90200271_buildGRCh38.tsv.gz
Chen Y,GCST90200272,3-hydroxyoctanoylcarnitine (1) levels,8245,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200272/GCST90200272_buildGRCh38.tsv.gz
Chen Y,GCST90200273,2-methoxyhydroquinone sulfate (2) levels,5778,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200273/GCST90200273_buildGRCh38.tsv.gz
Chen Y,GCST90200274,"Cis-3,4-methyleneheptanoylglycine levels",8106,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200274/GCST90200274_buildGRCh38.tsv.gz
Chen Y,GCST90200275,"Bilirubin degradation product, C16H18N2O5 (2) levels",8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200275/GCST90200275_buildGRCh38.tsv.gz
Chen Y,GCST90200276,"2,4-di-tert-butylphenol levels",8251,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200276/GCST90200276_buildGRCh38.tsv.gz
Chen Y,GCST90200277,"Bilirubin degradation product, C16H18N2O5 (1) levels",7864,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200277/GCST90200277_buildGRCh38.tsv.gz
Chen Y,GCST90200278,3-hydroxyoctanoylcarnitine (2) levels,8243,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200278/GCST90200278_buildGRCh38.tsv.gz
Chen Y,GCST90200279,Pantothenate levels,8194,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200279/GCST90200279_buildGRCh38.tsv.gz
Chen Y,GCST90200280,5-oxoproline levels,8247,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200280/GCST90200280_buildGRCh38.tsv.gz
Chen Y,GCST90200281,Phosphoethanolamine levels,8253,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200281/GCST90200281_buildGRCh38.tsv.gz
Chen Y,GCST90200282,Picolinate levels,7051,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200282/GCST90200282_buildGRCh38.tsv.gz
Chen Y,GCST90200283,3-ureidopropionate levels,7543,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200283/GCST90200283_buildGRCh38.tsv.gz
Chen Y,GCST90200284,Erucate (22:1n9) levels,8208,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200284/GCST90200284_buildGRCh38.tsv.gz
Chen Y,GCST90200285,Eicosenedioate (C20:1-DC) levels,8166,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200285/GCST90200285_buildGRCh38.tsv.gz
Chen Y,GCST90200286,Allantoin levels,8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200286/GCST90200286_buildGRCh38.tsv.gz
Chen Y,GCST90200287,N-acetylvaline levels,8218,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200287/GCST90200287_buildGRCh38.tsv.gz
Chen Y,GCST90200288,N-acetylleucine levels,7905,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200288/GCST90200288_buildGRCh38.tsv.gz
Chen Y,GCST90200289,N-acetylmethionine levels,7993,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200289/GCST90200289_buildGRCh38.tsv.gz
Chen Y,GCST90200290,Glycerate levels,8222,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200290/GCST90200290_buildGRCh38.tsv.gz
Chen Y,GCST90200291,Sarcosine levels,8223,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200291/GCST90200291_buildGRCh38.tsv.gz
Chen Y,GCST90200292,Trans-4-hydroxyproline levels,8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200292/GCST90200292_buildGRCh38.tsv.gz
Chen Y,GCST90200293,Thyroxine levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200293/GCST90200293_buildGRCh38.tsv.gz
Chen Y,GCST90200294,Pipecolate levels,8161,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200294/GCST90200294_buildGRCh38.tsv.gz
Chen Y,GCST90200295,Gamma-glutamyltyrosine levels,8221,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200295/GCST90200295_buildGRCh38.tsv.gz
Chen Y,GCST90200296,Methyl indole-3-acetate levels,7032,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200296/GCST90200296_buildGRCh38.tsv.gz
Chen Y,GCST90200297,Ursodeoxycholate levels,6206,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200297/GCST90200297_buildGRCh38.tsv.gz
Chen Y,GCST90200298,3-hydroxy-3-methylglutarate levels,8073,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200298/GCST90200298_buildGRCh38.tsv.gz
Chen Y,GCST90200299,Oleoyl ethanolamide levels,8243,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200299/GCST90200299_buildGRCh38.tsv.gz
Chen Y,GCST90200300,4-hydroxyphenylpyruvate levels,7813,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200300/GCST90200300_buildGRCh38.tsv.gz
Chen Y,GCST90200301,Gamma-glutamylglutamine levels,8217,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200301/GCST90200301_buildGRCh38.tsv.gz
Chen Y,GCST90200302,Alpha-tocopherol levels,8192,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200302/GCST90200302_buildGRCh38.tsv.gz
Chen Y,GCST90200303,N-acetyl-L-alanine levels,8220,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200303/GCST90200303_buildGRCh38.tsv.gz
Chen Y,GCST90200304,Citrate levels,8260,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200304/GCST90200304_buildGRCh38.tsv.gz
Chen Y,GCST90200305,2-aminobutyrate levels,8242,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200305/GCST90200305_buildGRCh38.tsv.gz
Chen Y,GCST90200306,Butyrate/isobutyrate (4:0) levels,8004,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200306/GCST90200306_buildGRCh38.tsv.gz
Chen Y,GCST90200307,Urate levels,8264,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200307/GCST90200307_buildGRCh38.tsv.gz
Chen Y,GCST90200308,3-hydroxyisobutyrate levels,8177,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200308/GCST90200308_buildGRCh38.tsv.gz
Chen Y,GCST90200309,Vanillylmandelate (VMA) levels,8216,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200309/GCST90200309_buildGRCh38.tsv.gz
Chen Y,GCST90200310,3-aminoisobutyrate levels,8265,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200310/GCST90200310_buildGRCh38.tsv.gz
Chen Y,GCST90200311,4-acetamidobutanoate levels,8154,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200311/GCST90200311_buildGRCh38.tsv.gz
Chen Y,GCST90200312,2-hydroxystearate levels,8241,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200312/GCST90200312_buildGRCh38.tsv.gz
Chen Y,GCST90200313,N1-methyladenosine levels,8247,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200313/GCST90200313_buildGRCh38.tsv.gz
Chen Y,GCST90200314,N-acetylneuraminate levels,8200,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200314/GCST90200314_buildGRCh38.tsv.gz
Chen Y,GCST90200315,Gamma-glutamylhistidine levels,8220,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200315/GCST90200315_buildGRCh38.tsv.gz
Chen Y,GCST90200316,N-acetylglucosaminylasparagine levels,8144,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200316/GCST90200316_buildGRCh38.tsv.gz
Chen Y,GCST90200317,Homovanillate (hva) levels,6320,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200317/GCST90200317_buildGRCh38.tsv.gz
Chen Y,GCST90200318,Acetoacetate levels,6883,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200318/GCST90200318_buildGRCh38.tsv.gz
Chen Y,GCST90200319,"Cys-gly, oxidized levels",8256,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200319/GCST90200319_buildGRCh38.tsv.gz
Chen Y,GCST90200320,Dihomo-linoleate (20:2n6) levels,8284,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200320/GCST90200320_buildGRCh38.tsv.gz
Chen Y,GCST90200321,Cholate levels,7892,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200321/GCST90200321_buildGRCh38.tsv.gz
Chen Y,GCST90200322,Beta-hydroxyisovalerate levels,8201,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200322/GCST90200322_buildGRCh38.tsv.gz
Chen Y,GCST90200323,Creatine levels,8285,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200323/GCST90200323_buildGRCh38.tsv.gz
Chen Y,GCST90200324,Anthranilate levels,5773,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200324/GCST90200324_buildGRCh38.tsv.gz
Chen Y,GCST90200325,Glycerol levels,8285,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200325/GCST90200325_buildGRCh38.tsv.gz
Chen Y,GCST90200326,Gamma-glutamylleucine levels,8041,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200326/GCST90200326_buildGRCh38.tsv.gz
Chen Y,GCST90200327,Choline levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200327/GCST90200327_buildGRCh38.tsv.gz
Chen Y,GCST90200328,3-methoxytyrosine levels,8258,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200328/GCST90200328_buildGRCh38.tsv.gz
Chen Y,GCST90200329,3-phosphoglycerate levels,8196,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200329/GCST90200329_buildGRCh38.tsv.gz
Chen Y,GCST90200330,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) levels,8230,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200330/GCST90200330_buildGRCh38.tsv.gz
Chen Y,GCST90200331,1-palmitoyl-2-oleoyl-GPE (16:0/18:1) levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200331/GCST90200331_buildGRCh38.tsv.gz
Chen Y,GCST90200332,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) levels,8115,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200332/GCST90200332_buildGRCh38.tsv.gz
Chen Y,GCST90200333,Taurocholic acid levels,7743,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200333/GCST90200333_buildGRCh38.tsv.gz
Chen Y,GCST90200334,Taurodeoxycholate levels,7287,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200334/GCST90200334_buildGRCh38.tsv.gz
Chen Y,GCST90200335,Stearoyl sphingomyelin (d18:1/18:0) levels,8258,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200335/GCST90200335_buildGRCh38.tsv.gz
Chen Y,GCST90200336,Ceramide (d18:1/16:0) levels,8266,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200336/GCST90200336_buildGRCh38.tsv.gz
Chen Y,GCST90200337,Taurochenodeoxycholate levels,8048,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200337/GCST90200337_buildGRCh38.tsv.gz
Chen Y,GCST90200338,4-hydroxyphenylacetate levels,7906,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200338/GCST90200338_buildGRCh38.tsv.gz
Chen Y,GCST90200339,"5,6-dihydrothymine levels",8219,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200339/GCST90200339_buildGRCh38.tsv.gz
Chen Y,GCST90200340,1-palmitoyl-2-oleoyl-gpc (16:0/18:1) levels,8249,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200340/GCST90200340_buildGRCh38.tsv.gz
Chen Y,GCST90200341,N-stearoyl-sphingosine (d18:1/18:0) levels,8254,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200341/GCST90200341_buildGRCh38.tsv.gz
Chen Y,GCST90200342,Glycochenodeoxycholate levels,8164,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200342/GCST90200342_buildGRCh38.tsv.gz
Chen Y,GCST90200343,N-formylmethionine levels,8235,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200343/GCST90200343_buildGRCh38.tsv.gz
Chen Y,GCST90200344,"N6,n6,n6-trimethyllysine levels",8180,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200344/GCST90200344_buildGRCh38.tsv.gz
Chen Y,GCST90200345,S-adenosylhomocysteine (SAH) levels,6142,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200345/GCST90200345_buildGRCh38.tsv.gz
Chen Y,GCST90200346,4-acetaminophen sulfate levels,4197,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200346/GCST90200346_buildGRCh38.tsv.gz
Chen Y,GCST90200347,2-hydroxyhippurate (salicylurate) levels,8244,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200347/GCST90200347_buildGRCh38.tsv.gz
Chen Y,GCST90200348,Quinolinate levels,8203,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200348/GCST90200348_buildGRCh38.tsv.gz
Chen Y,GCST90200349,Eicosapentaenoate (EPA; 20:5n3) levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200349/GCST90200349_buildGRCh38.tsv.gz
Chen Y,GCST90200350,Laurate (12:0) levels,8226,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200350/GCST90200350_buildGRCh38.tsv.gz
Chen Y,GCST90200351,N-acetylputrescine levels,8243,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200351/GCST90200351_buildGRCh38.tsv.gz
Chen Y,GCST90200352,Methylsuccinate levels,7965,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200352/GCST90200352_buildGRCh38.tsv.gz
Chen Y,GCST90200353,"9,10-DiHOME levels",7557,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200353/GCST90200353_buildGRCh38.tsv.gz
Chen Y,GCST90200354,Linoleate (18:2n6) levels,8260,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200354/GCST90200354_buildGRCh38.tsv.gz
Chen Y,GCST90200355,Adenosine 5'-diphosphate (ADP) levels,4607,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200355/GCST90200355_buildGRCh38.tsv.gz
Chen Y,GCST90200356,Adenosine 5'-monophosphate (AMP) levels,8218,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200356/GCST90200356_buildGRCh38.tsv.gz
Chen Y,GCST90200357,"Adenosine 3',5'-cyclic monophosphate (camp) levels",6756,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200357/GCST90200357_buildGRCh38.tsv.gz
Chen Y,GCST90200358,Arachidonate (20:4n6) levels,8272,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200358/GCST90200358_buildGRCh38.tsv.gz
Chen Y,GCST90200359,5-methylthioadenosine (mta) levels,8210,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200359/GCST90200359_buildGRCh38.tsv.gz
Chen Y,GCST90200360,Cortisone levels,8153,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200360/GCST90200360_buildGRCh38.tsv.gz
Chen Y,GCST90200361,Beta-alanine levels,8114,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200361/GCST90200361_buildGRCh38.tsv.gz
Chen Y,GCST90200362,Succinate levels,7943,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200362/GCST90200362_buildGRCh38.tsv.gz
Chen Y,GCST90200363,Phosphocholine levels,8245,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200363/GCST90200363_buildGRCh38.tsv.gz
Chen Y,GCST90200364,Cysteinylglycine levels,8214,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200364/GCST90200364_buildGRCh38.tsv.gz
Chen Y,GCST90200365,Phenylpyruvate levels,8241,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200365/GCST90200365_buildGRCh38.tsv.gz
Chen Y,GCST90200366,Creatinine levels,8239,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200366/GCST90200366_buildGRCh38.tsv.gz
Chen Y,GCST90200367,3-Hydroxybutyrate levels,8292,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200367/GCST90200367_buildGRCh38.tsv.gz
Chen Y,GCST90200368,Cholesterol levels,8258,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200368/GCST90200368_buildGRCh38.tsv.gz
Chen Y,GCST90200369,2-hydroxyphenylacetate levels,7564,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200369/GCST90200369_buildGRCh38.tsv.gz
Chen Y,GCST90200370,Aspartate levels,8253,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200370/GCST90200370_buildGRCh38.tsv.gz
Chen Y,GCST90200371,3-(4-hydroxyphenyl)lactate levels,8259,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200371/GCST90200371_buildGRCh38.tsv.gz
Chen Y,GCST90200372,Arginine levels,8237,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200372/GCST90200372_buildGRCh38.tsv.gz
Chen Y,GCST90200373,Gluconate levels,8106,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200373/GCST90200373_buildGRCh38.tsv.gz
Chen Y,GCST90200374,Sphinganine levels,7429,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200374/GCST90200374_buildGRCh38.tsv.gz
Chen Y,GCST90200375,Gamma-glutamylglutamate levels,8244,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200375/GCST90200375_buildGRCh38.tsv.gz
Chen Y,GCST90200376,Flavin adenine dinucleotide (FAD) levels,6257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200376/GCST90200376_buildGRCh38.tsv.gz
Chen Y,GCST90200377,Histidine levels,8223,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200377/GCST90200377_buildGRCh38.tsv.gz
Chen Y,GCST90200378,Cortisol levels (plasma),8193,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200378/GCST90200378_buildGRCh38.tsv.gz
Chen Y,GCST90200379,Hypotaurine levels,8212,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200379/GCST90200379_buildGRCh38.tsv.gz
Chen Y,GCST90200380,Glutarate (C5-DC) levels,7757,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200380/GCST90200380_buildGRCh38.tsv.gz
Chen Y,GCST90200381,S-1-pyrroline-5-carboxylate levels,8232,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200381/GCST90200381_buildGRCh38.tsv.gz
Chen Y,GCST90200382,Cystine levels,8177,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200382/GCST90200382_buildGRCh38.tsv.gz
Chen Y,GCST90200383,Cystathionine levels,8014,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200383/GCST90200383_buildGRCh38.tsv.gz
Chen Y,GCST90200384,Guanidinoacetate levels,8238,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200384/GCST90200384_buildGRCh38.tsv.gz
Chen Y,GCST90200385,Sphingosine levels,7982,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200385/GCST90200385_buildGRCh38.tsv.gz
Chen Y,GCST90200386,Deoxycholate levels,7649,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200386/GCST90200386_buildGRCh38.tsv.gz
Chen Y,GCST90200387,Glycocholate levels,8247,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200387/GCST90200387_buildGRCh38.tsv.gz
Chen Y,GCST90200388,Palmitoleate (16:1n7) levels,8290,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200388/GCST90200388_buildGRCh38.tsv.gz
Chen Y,GCST90200389,Leucine levels,8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200389/GCST90200389_buildGRCh38.tsv.gz
Chen Y,GCST90200390,Stearate (18:0) levels,8272,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200390/GCST90200390_buildGRCh38.tsv.gz
Chen Y,GCST90200391,Methionine levels,8222,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200391/GCST90200391_buildGRCh38.tsv.gz
